Avg_RPM,Actual_RPM,Speed (rad/s),Disc_Pressure (bar.abs),Predicted_Mass_leakage (kg/s),Predicted_mass_sealed (kg/s),Measured_Mass (kg/s),Disc_Pressure_2 (bar.abs),Predicted_Power_leakage (W),Predicted_Power_seal (W),Measured_Power (W),Predicted_Torque_Leakage (Nm),Predicted_Torque_Seal (Nm),Measured_Torque (Nm),Uncertainty_power (W),Uncertainty_mass (kg/s)
1216,1217,127.443942,4.263222698,0.3773,0.7484,0.324732148,4.244418092,230.445,251.2219,219.9239955,1.8082,1.9712,1.725652801,8.849294419,0.502143508
1216,1214,127.1297827,3.748781678,0.3939,0.7475,0.356733124,3.787823224,210.7085,227.9221,201.0634691,1.6574,1.7928,1.581560708,9.641621939,0.401890139
1216,1217,127.443942,3.411492883,0.42,0.7504,0.453161987,3.448009865,198.7812,213.3566,193.6302583,1.5598,1.6741,1.519336701,10.02966107,0.287338344
1216,1215,127.2345025,3.003646523,0.44,0.7493,0.455435273,3.051512021,181.7297,193.8105,176.8968333,1.4283,1.5233,1.390321256,10.94606345,0.251531681
1216,1217,127.443942,2.39755211,0.4791,0.7521,0.453592131,2.272505576,155.6023,163.9101,150.0131119,1.2209,1.2861,1.177090959,12.90021201,0.201409689
1417,1427,149.4350906,5.253362587,0.4682,0.8755,0.499426211,5.240670159,303.8171,333.7315,312.4125415,2.0547,2.2333,2.090623697,7.308729738,0.401962534
1417,1411,147.7595745,4.822307569,0.4856,0.8665,0.514582347,4.822307569,290.4012,311.8696,277.2392539,1.964,2.1107,1.876286223,8.129870897,0.36549861
1417,1412,147.8642942,4.236297848,0.4907,0.8675,0.482132129,4.213365769,267.9635,287.2945,252.583565,1.8122,1.943,1.708212022,8.916370526,0.335094649
1417,1415,148.1784535,3.661602244,0.5129,0.869,0.552829858,3.664834336,242.8637,259.0633,233.8509536,1.639,1.7483,1.578171104,9.639645211,0.251549438
1417,1412,147.8642942,2.922051085,0.5511,0.8697,0.550643603,2.959328515,206.71,220.3611,203.9249111,1.398,1.4903,1.379135593,11.01163714,0.201422117
1417,1423,149.0162115,2.66987551,0.5747,0.8782,0.60090269,2.654620834,195.7118,208.6319,199.0779456,1.3134,1.4001,1.33594824,11.36219349,0.168011907
1639,1638,171.5309589,5.267667702,0.6172,1.004,0.550788114,5.267667702,363.1037,387.7834,350.3611916,2.1168,2.2607,2.042553681,7.460345266,0.401961182
1639,1638,171.5309589,4.548877823,0.6298,1.0038,0.60263467,4.536087141,333.29,354.0047,318.3710748,1.943,2.0638,1.856056055,8.198249499,0.287372588
1639,1639,171.6356786,3.68519175,0.6628,1.0079,0.696666108,3.659050193,289.9552,305.7687,289.3017315,1.6894,1.7815,1.685557069,9.015660943,0.201442554
1639,1639,171.6356786,3.264158494,0.6644,1.0081,0.735568843,3.274861773,266.2373,280.1596,271.8455497,1.5512,1.6323,1.583852214,9.587106454,0.168024799
1639,1639,171.6356786,3.068235487,0.6951,1.009,0.803114958,3.045672765,255.4761,267.9656,257.3726078,1.4885,1.5612,1.499528593,10.11966959,0.144161363
1639,1640,171.7403984,2.829380628,0.691,1.01,0.843322124,2.870669176,240.5625,252.0315,242.5416137,1.4007,1.4675,1.412257198,10.73774962,0.126260651
1839,1837,192.3701902,5.065394943,0.7419,1.1208,0.805309565,5.095547007,401.1426,434.6696,414.9810831,2.0853,2.2595,2.157200566,7.057422573,0.236837073
1839,1837,192.3701902,4.581677807,0.7275,1.122,0.85827403,4.556324359,376.8998,408.4784,377.6009892,1.9592,2.1234,1.962887228,7.745770484,0.201454948
1839,1839,192.5796297,4.02822608,0.7476,1.1254,0.905455053,3.955564486,349.4004,379.1519,348.3382223,1.8143,1.9688,1.808800977,8.396639465,0.168037931
1839,1839,192.5796297,3.653398687,0.7621,1.1256,1.020433602,3.597934349,325.6363,350.7996,344.1179053,1.6909,1.8216,1.786886318,8.498343521,0.126273674
1839,1839,192.5796297,3.073275685,0.7936,1.127,1.020125163,3.112111223,292.1381,310.6073,310.510139,1.517,1.6129,1.612372708,9.406913117,0.112344629
1839,1840,192.6843494,2.640104447,0.8226,1.128,1.009491073,2.618630611,259.4653,279.0224,272.3202419,1.3466,1.4481,1.41329715,10.71727597,0.096432949
2112,2107,220.644524,5.139552731,0.9031,1.2824,0.869060646,5.108132471,475.798,500.786,496.9939993,2.1564,2.2697,2.25246469,6.75001541,0.223740903
2112,2112,221.1681228,4.435047064,0.9178,1.2858,0.948473635,4.430646489,436.9071,459.3146,455.1477762,1.9755,2.0768,2.05792666,7.379318434,0.175299799
2112,2114,221.3775623,4.003856631,0.9355,1.289,1.042829288,4.017045492,410.8921,430.4355,404.2158333,1.8561,1.9444,1.825911484,8.305418512,0.144170385
2112,2111,221.0634031,3.690613585,0.9181,1.2874,1.163197724,3.698237319,386.5522,404.4696,362.0318992,1.7486,1.8297,1.637683552,9.249750433,0.118901273
2112,2112,221.1681228,3.342466417,0.9382,1.2907,1.165719108,3.362102148,361.5755,377.0515,343.1903293,1.6348,1.7048,1.55171697,9.757140268,0.106484902
2112,2113,221.2728426,2.547230439,1.0174,1.2927,1.193490287,2.579762236,299.785,310.2295,291.5520261,1.3548,1.402,1.317613236,11.47460694,0.078078449
